state,value
Alabama,259.67
Alaska,399.38
Arizona,272.06
Arkansas,247.22
California,296.49 
Colorado,268.48
Connecticut,233.55
Delaware,260.78
District of Columbia,230.19
Florida,230.98 
Georgia,271.97
Idaho,268.65
Illinois,256.25 
Indiana,268.66 
Iowa,228.67 
Kansas,248.16 
Kentucky,243.97
Louisiana,270.13
Maine,216.40
Maryland,233.12
Massachusetts,211.05 
Michigan,240.67 
Minnesota,211.02
Mississippi,250.03 
Missouri,255.05 
Montana,245.56 
Nebraska,253.33
Nevada,234.27 
New Hampshire,208.55
New Jersey,238.19
New Mexico,267.88
New York,247.91
North Carolina,243.60
North Dakota,251.68
Ohio,250.70
Oklahoma,258.15
Oregon,211.95
Pennsylvania,238.35 
Rhode Island,229.26
South Carolina,257.93
South Dakota,277.30
Tennessee,248.014
Texas,274.15
Utah,287.37
Vermont,223.36 
Virginia,244.19
Washington,215.93 
West Virginia,222.97
Wisconsin,216.64 
Wyoming,263.67
